Player,Career Span,Career Start,Career End,Matches Played,Innings Batted,Not Outs,Runs Scored,Highest Innings Score,Highest Innings Score Num,Batting Avg,Balls Faced,Batting Strike Rate,Hundreds Scored,Scores Of Fifty Or More,Ducks Scored,Boundary Fours,Boundary Sixes,Country,Player Count,1000+ Runs Scored,25+ Batting Avg,120+ Batting Strike Rate
JD Ryder (2008-2014),2008-2014,2008,2014,22,21,1,457,62,62,22.85,358,127.65,0,3,2,47,18,New Zealand,1,0,0,1
CJ Anderson (2012-2017),2012-2017,2012,2017,29,22,3,432,94*,94,22.73,314,137.57,0,2,3,26,24,New Zealand,1,0,0,1
RJ Nicol (2010-2013),2010-2013,2010,2013,21,19,0,327,58,58,17.21,296,110.47,0,2,2,33,11,New Zealand,1,0,0,0
L Ronchi (2013-2017),2013-2017,2013,2017,29,23,6,312,51*,51,18.35,227,137.44,0,1,4,22,13,New Zealand,1,0,0,0
NL McCullum (2007-2016),2007-2016,2007,2016,63,41,15,299,36*,36,11.50,297,100.67,0,0,4,19,8,New Zealand,1,0,0,0
DL Vettori (2007-2014),2007-2014,2007,2014,34,22,6,205,38,38,12.81,190,107.89,0,0,3,14,2,New Zealand,1,0,0,0
CD McMillan (2005-2007),2005-2007,2005,2007,8,7,1,187,57,57,31.16,117,159.82,0,1,0,8,14,New Zealand,1,0,0,0
L Vincent (2006-2007),2006-2007,2006,2007,9,9,0,174,42,42,19.33,174,100.00,0,0,1,17,3,New Zealand,1,0,0,0
TWM Latham (2012-2017),2012-2017,2012,2017,13,10,0,163,39,39,16.30,157,103.82,0,0,0,12,2,New Zealand,1,0,0,0
GD Elliott (2009-2016),2009-2016,2009,2016,16,14,4,157,27,27,15.70,149,105.36,0,0,0,10,2,New Zealand,1,0,0,0
HD Rutherford (2013-2013),2013-2013,2013,2013,7,6,0,151,62,62,25.16,104,145.19,0,1,0,12,9,New Zealand,1,0,0,0
KD Mills (2005-2014),2005-2014,2005,2014,42,19,7,137,33*,33,11.41,123,111.38,0,0,4,11,5,New Zealand,1,0,0,0
TC Bruce (2017-2017),2017-2017,2017,2017,7,7,2,136,59*,59,27.20,103,132.03,0,1,0,13,3,New Zealand,1,0,0,0
PG Fulton (2006-2012),2006-2012,2006,2012,12,12,1,127,25,25,11.54,140,90.71,0,0,2,7,6,New Zealand,1,0,0,0
AJ Redmond (2009-2010),2009-2010,2009,2010,7,6,0,126,63,63,21.00,84,150.00,0,1,0,19,2,New Zealand,1,0,0,0
JDS Neesham (2012-2017),2012-2017,2012,2017,15,12,3,122,28,28,13.55,93,131.18,0,0,1,15,3,New Zealand,1,0,0,0
AP Devcich (2013-2014),2013-2014,2013,2014,4,4,0,111,59,59,27.75,79,140.50,0,1,0,17,2,New Zealand,1,0,0,0
SP Fleming (2005-2006),2005-2006,2005,2006,5,5,0,110,38,38,22.00,85,129.41,0,0,0,20,0,New Zealand,1,0,0,0
TG Southee (2008-2017),2008-2017,2008,2017,41,17,5,103,23,23,8.58,79,130.37,0,0,2,8,6,New Zealand,1,0,0,0
C de Grandhomme (2012-2017),2012-2017,2012,2017,11,10,5,92,41*,41,18.40,62,148.38,0,0,1,4,7,New Zealand,1,0,0,0
GH Worker (2015-2015),2015-2015,2015,2015,2,2,0,90,62,62,45.00,64,140.62,0,1,0,6,5,New Zealand,1,0,0,0
GJ Hopkins (2007-2010),2007-2010,2007,2010,10,8,0,86,36,36,10.75,71,121.12,0,0,0,5,5,New Zealand,1,0,0,0
MJ Santner (2015-2017),2015-2017,2015,2017,17,11,3,79,27*,27,9.87,75,105.33,0,0,1,6,2,New Zealand,1,0,0,0
DAJ Bracewell (2011-2015),2011-2015,2011,2015,14,8,5,77,21*,21,25.66,56,137.50,0,0,1,5,4,New Zealand,1,0,0,0
NJ Astle (2005-2006),2005-2006,2005,2006,4,4,1,74,40*,40,24.66,67,110.44,0,0,0,7,2,New Zealand,1,0,0,0
NT Broom (2009-2017),2009-2017,2009,2017,11,7,1,73,36,36,12.16,68,107.35,0,0,0,8,1,New Zealand,1,0,0,0
PD McGlashan (2006-2010),2006-2010,2006,2010,11,9,1,61,26,26,7.62,64,95.31,0,0,0,6,2,New Zealand,1,0,0,0
DR Flynn (2008-2012),2008-2012,2008,2012,5,5,0,59,23,23,11.80,51,115.68,0,0,0,1,4,New Zealand,1,0,0,0
JM How (2007-2008),2007-2008,2007,2008,5,5,0,56,31,31,11.20,67,83.58,0,0,0,5,1,New Zealand,1,0,0,0
BJ Watling (2009-2014),2009-2014,2009,2014,5,4,0,38,22,22,9.50,58,65.51,0,0,0,3,0,New Zealand,1,0,0,0
RM Hira (2012-2013),2012-2013,2012,2013,15,3,1,37,20*,20,18.50,33,112.12,0,0,0,4,1,New Zealand,1,0,0,0
AM Ellis (2012-2013),2012-2013,2012,2013,5,5,2,25,16,16,8.33,21,119.04,0,0,0,1,1,New Zealand,1,0,0,0
PJ Ingram (2010-2010),2010-2010,2010,2010,3,3,1,22,20*,20,11.00,35,62.85,0,0,1,3,0,New Zealand,1,0,0,0
SE Bond (2005-2010),2005-2010,2005,2010,20,8,3,21,8*,8,4.20,21,100.00,0,0,2,2,0,New Zealand,1,0,0,0
MR Gillespie (2006-2008),2006-2008,2006,2008,11,6,4,21,7,7,10.50,29,72.41,0,0,0,0,0,New Zealand,1,0,0,0
AF Milne (2010-2017),2010-2017,2010,2017,19,7,7,21,10*,10,-,23,91.30,0,0,0,1,0,New Zealand,1,0,0,0
JW Wilson (2005-2005),2005-2005,2005,2005,1,1,0,18,18,18,18.00,14,128.57,0,0,0,2,0,New Zealand,1,0,0,0
GD Phillips (2017-2017),2017-2017,2017,2017,3,2,0,16,11,11,8.00,20,80.00,0,0,0,2,0,New Zealand,1,0,0,0
HM Nicholls (2016-2017),2016-2017,2016,2017,4,3,0,15,7,7,5.00,22,68.18,0,0,0,2,0,New Zealand,1,0,0,0
MJ McClenaghan (2012-2016),2012-2016,2012,2016,28,7,4,14,6*,6,4.66,15,93.33,0,0,2,1,1,New Zealand,1,0,0,0
JAH Marshall (2005-2008),2005-2008,2005,2008,3,2,0,14,13,13,7.00,15,93.33,0,0,0,2,0,New Zealand,1,0,0,0
AR Adams (2005-2006),2005-2006,2005,2006,4,2,1,13,7,7,13.00,12,108.33,0,0,0,1,0,New Zealand,1,0,0,0
TA Boult (2013-2017),2013-2017,2013,2017,17,5,1,13,5,5,3.25,23,56.52,0,0,1,0,0,New Zealand,1,0,0,0
PA Hitchcock (2008-2008),2008-2008,2008,2008,1,1,0,13,13,13,13.00,11,118.18,0,0,0,1,1,New Zealand,1,0,0,0
HJH Marshall (2005-2006),2005-2006,2005,2006,3,3,0,12,8,8,4.00,14,85.71,0,0,0,0,0,New Zealand,1,0,0,0
IS Sodhi (2014-2017),2014-2017,2014,2017,15,2,2,11,11*,11,-,9,122.22,0,0,0,2,0,New Zealand,1,0,0,0
MJ Henry (2014-2017),2014-2017,2014,2017,6,2,1,10,10,10,10.00,5,200.00,0,0,0,2,0,New Zealand,1,0,0,0
JS Patel (2005-2008),2005-2008,2005,2008,11,4,1,9,5,5,3.00,14,64.28,0,0,1,1,0,New Zealand,1,0,0,0
DG Brownlie (2010-2014),2010-2014,2010,2014,5,5,0,6,5,5,1.20,18,33.33,0,0,3,1,0,New Zealand,1,0,0,0
BM Wheeler (2017-2017),2017-2017,2017,2017,4,2,1,6,6,6,6.00,6,100.00,0,0,0,1,0,New Zealand,1,0,0,0
IG Butler (2009-2013),2009-2013,2009,2013,19,6,5,5,2*,2,5.00,10,50.00,0,0,0,0,0,New Zealand,1,0,0,0
CS Martin (2007-2008),2007-2008,2007,2008,6,1,1,5,5*,5,-,6,83.33,0,0,0,0,0,New Zealand,1,0,0,0
DR Tuffey (2005-2010),2005-2010,2005,2010,3,2,1,5,5*,5,5.00,5,100.00,0,0,1,1,0,New Zealand,1,0,0,0
CL Cairns (2005-2006),2005-2006,2005,2006,2,2,0,3,2,2,1.50,13,23.07,0,0,0,0,0,New Zealand,1,0,0,0
MJ Mason (2006-2008),2006-2008,2006,2008,3,1,0,2,2,2,2.00,2,100.00,0,0,0,0,0,New Zealand,1,0,0,0
TD Astle (2016-2016),2016-2016,2016,2016,2,1,0,1,1,1,1.00,5,20.00,0,0,0,0,0,New Zealand,1,0,0,0
EP Thompson (2008-2008),2008-2008,2008,2008,1,1,1,1,1*,1,-,1,100.00,0,0,0,0,0,New Zealand,1,0,0,0
AJ McKay (2010-2010),2010-2010,2010,2010,2,1,0,0,0,0,0.00,1,0.00,0,0,1,0,0,New Zealand,1,0,0,0
MS Sinclair (2005-2007),2005-2007,2005,2007,2,2,0,0,0,0,0.00,5,0.00,0,0,2,0,0,New Zealand,1,0,0,0
GW Aldridge (2011-2011),2011-2011,2011,2011,1,-,-,-,-,-,-,-,-,-,-,-,-,-,New Zealand,1,0,0,0
MD Bates (2012-2012),2012-2012,2012,2012,3,-,-,-,-,-,-,-,-,-,-,-,-,-,New Zealand,1,0,0,0
TA Blundell (2017-2017),2017-2017,2017,2017,1,-,-,-,-,-,-,-,-,-,-,-,-,-,New Zealand,1,0,0,0
BJ Diamanti (2009-2009),2009-2009,2009,2009,1,-,-,-,-,-,-,-,-,-,-,-,-,-,New Zealand,1,0,0,0
LH Ferguson (2017-2017),2017-2017,2017,2017,1,-,-,-,-,-,-,-,-,-,-,-,-,-,New Zealand,1,0,0,0
"IE O'Brien (2009-2009)",2009-2009,2009,2009,4,-,-,-,-,-,-,-,-,-,-,-,-,-,New Zealand,1,0,0,0
LJ Woodcock (2010-2011),2010-2011,2010,2011,3,-,-,-,-,-,-,-,-,-,-,-,-,-,New Zealand,1,0,0,0
V Kohli (2010-2017),2010-2017,2010,2017,55,51,14,1956,90*,90,52.86,1419,137.84,0,18,1,208,40,India,1,1,1,1
RG Sharma (2007-2017),2007-2017,2007,2017,68,61,12,1485,106,106,30.30,1143,129.92,1,12,3,132,56,India,1,1,1,1
SK Raina (2006-2017),2006-2017,2006,2017,65,55,11,1307,101,101,29.70,983,132.96,1,4,2,116,47,India,1,1,1,1
MS Dhoni (2006-2017),2006-2017,2006,2017,83,72,36,1281,56,56,35.58,1038,123.41,0,1,1,86,40,India,1,1,1,1
Yuvraj Singh (2007-2017),2007-2017,2007,2017,58,51,9,1177,77*,77,28.02,863,136.38,0,8,1,77,74,India,1,1,1,1
G Gambhir (2007-2012),2007-2012,2007,2012,37,36,2,932,75,75,27.41,783,119.02,0,7,2,109,10,India,1,0,1,0
S Dhawan (2011-2017),2011-2017,2011,2017,28,28,3,543,80,80,21.72,459,118.30,0,3,1,68,14,India,1,0,0,0
V Sehwag (2006-2012),2006-2012,2006,2012,19,18,0,394,68,68,21.88,271,145.38,0,2,1,43,16,India,1,0,0,1
AM Rahane (2011-2016),2011-2016,2011,2016,20,20,2,375,61,61,20.83,331,113.29,0,1,2,32,6,India,1,0,0,0
KL Rahul (2016-2017),2016-2017,2016,2017,9,8,2,304,110*,110,50.66,204,149.01,1,1,1,29,11,India,1,0,0,0
RV Uthappa (2007-2015),2007-2015,2007,2015,13,12,2,249,50,50,24.90,211,118.00,0,1,1,26,6,India,1,0,0,0
YK Pathan (2007-2012),2007-2012,2007,2012,22,18,5,236,37*,37,18.15,161,146.58,0,0,3,11,17,India,1,0,0,0
MK Pandey (2015-2017),2015-2017,2015,2017,12,9,1,174,51*,51,21.75,143,121.67,0,1,2,8,7,India,1,0,0,0
IK Pathan (2006-2012),2006-2012,2006,2012,24,14,7,172,33*,33,24.57,144,119.44,0,0,0,9,7,India,1,0,0,0
M Vijay (2010-2015),2010-2015,2010,2015,9,9,0,169,48,48,18.77,154,109.74,0,0,1,13,8,India,1,0,0,0
KD Karthik (2006-2017),2006-2017,2006,2017,10,9,2,148,48,48,21.14,117,126.49,0,0,1,19,4,India,1,0,0,0
HH Pandya (2016-2017),2016-2017,2016,2017,24,14,1,140,31,31,10.76,112,125.00,0,0,2,7,7,India,1,0,0,0
R Ashwin (2010-2017),2010-2017,2010,2017,46,11,7,123,31*,31,30.75,115,106.95,0,0,0,14,1,India,1,0,0,0
KM Jadhav (2015-2017),2015-2017,2015,2017,9,6,0,122,58,58,20.33,99,123.23,0,1,0,12,3,India,1,0,0,0
RA Jadeja (2009-2017),2009-2017,2009,2017,40,18,6,116,25,25,9.66,124,93.54,0,0,2,6,2,India,1,0,0,0
Harbhajan Singh (2006-2016),2006-2016,2006,2016,28,13,5,108,21,21,13.50,87,124.13,0,0,1,11,4,India,1,0,0,0
Mandeep Singh (2016-2016),2016-2016,2016,2016,3,3,1,87,52*,52,43.50,73,119.17,0,1,0,11,1,India,1,0,0,0
AR Patel (2015-2017),2015-2017,2015,2017,10,6,2,67,20*,20,16.75,53,126.41,0,0,0,3,3,India,1,0,0,0
S Badrinath (2011-2011),2011-2011,2011,2011,1,1,0,43,43,43,43.00,37,116.21,0,0,0,5,0,India,1,0,0,0
RR Pant (2017-2017),2017-2017,2017,2017,2,2,1,43,38,38,43.00,38,113.15,0,0,0,3,1,India,1,0,0,0
AT Rayudu (2014-2016),2014-2016,2014,2016,6,5,1,42,20,20,10.50,50,84.00,0,0,2,5,0,India,1,0,0,0
D Mongia (2006-2006),2006-2006,2006,2006,1,1,0,38,38,38,38.00,45,84.44,0,0,0,4,1,India,1,0,0,0
PA Patel (2011-2011),2011-2011,2011,2011,2,2,0,36,26,26,18.00,32,112.50,0,0,0,4,1,India,1,0,0,0
STR Binny (2015-2016),2015-2016,2015,2016,3,2,0,35,24,24,17.50,29,120.68,0,0,0,2,1,India,1,0,0,0
R Dravid (2011-2011),2011-2011,2011,2011,1,1,0,31,31,31,31.00,21,147.61,0,0,0,0,3,India,1,0,0,0
SS Iyer (2017-2017),2017-2017,2017,2017,3,2,0,29,23,23,14.50,27,107.40,0,0,0,4,0,India,1,0,0,0
A Nehra (2009-2017),2009-2017,2009,2017,27,5,0,28,22,22,5.60,39,71.79,0,0,3,1,2,India,1,0,0,0
AB Dinda (2009-2012),2009-2012,2009,2012,9,2,1,22,19,19,22.00,24,91.66,0,0,0,1,0,India,1,0,0,0
S Sreesanth (2006-2008),2006-2008,2006,2008,10,3,2,20,19*,19,20.00,14,142.85,0,0,1,4,0,India,1,0,0,0
SV Samson (2015-2015),2015-2015,2015,2015,1,1,0,19,19,19,19.00,24,79.16,0,0,0,1,0,India,1,0,0,0
B Kumar (2012-2017),2012-2017,2012,2017,23,6,3,18,9,9,6.00,24,75.00,0,0,1,0,0,India,1,0,0,0
Kuldeep Yadav (2017-2017),2017-2017,2017,2017,5,1,0,16,16,16,16.00,19,84.21,0,0,0,1,0,India,1,0,0,0
AB Agarkar (2006-2007),2006-2007,2006,2007,4,2,0,15,14,14,7.50,11,136.36,0,0,0,2,0,India,1,0,0,0
MK Tiwary (2011-2012),2011-2012,2011,2012,3,1,0,15,15,15,15.00,17,88.23,0,0,0,0,0,India,1,0,0,0
Z Khan (2006-2012),2006-2012,2006,2012,17,4,2,13,9,9,6.50,10,130.00,0,0,0,0,1,India,1,0,0,0
NV Ojha (2010-2010),2010-2010,2010,2010,2,2,0,12,10,10,6.00,27,44.44,0,0,0,2,0,India,1,0,0,0
PP Ojha (2009-2010),2009-2010,2009,2010,6,1,1,10,10*,10,-,6,166.66,0,0,0,0,1,India,1,0,0,0
SR Tendulkar (2006-2006),2006-2006,2006,2006,1,1,0,10,10,10,10.00,12,83.33,0,0,0,2,0,India,1,0,0,0
JJ Bumrah (2016-2017),2016-2017,2016,2017,30,6,4,8,7,7,4.00,13,61.53,0,0,1,1,0,India,1,0,0,0
I Sharma (2008-2013),2008-2013,2008,2013,14,3,2,8,5*,5,8.00,9,88.88,0,0,1,1,0,India,1,0,0,0
P Kumar (2008-2012),2008-2012,2008,2012,10,3,0,7,6,6,2.33,16,43.75,0,0,1,0,0,India,1,0,0,0
Parvez Rasool (2017-2017),2017-2017,2017,2017,1,1,0,5,5,5,5.00,6,83.33,0,0,0,0,0,India,1,0,0,0
YS Chahal (2016-2017),2016-2017,2016,2017,12,1,1,3,3*,3,-,2,150.00,0,0,0,0,0,India,1,0,0,0
MM Sharma (2014-2015),2014-2015,2014,2015,8,2,2,3,3*,3,-,7,42.85,0,0,0,0,0,India,1,0,0,0
RP Singh (2007-2009),2007-2009,2007,2009,10,2,2,3,2*,2,-,3,100.00,0,0,0,0,0,India,1,0,0,0
R Vinay Kumar (2010-2013),2010-2013,2010,2013,9,1,1,2,2*,2,-,4,50.00,0,0,0,0,0,India,1,0,0,0
R Dhawan (2016-2016),2016-2016,2016,2016,1,1,1,1,1*,1,-,2,50.00,0,0,0,0,0,India,1,0,0,0
DS Kulkarni (2016-2016),2016-2016,2016,2016,2,1,1,1,1*,1,-,1,100.00,0,0,0,0,0,India,1,0,0,0
Sandeep Sharma (2015-2015),2015-2015,2015,2015,2,1,1,1,1*,1,-,1,100.00,0,0,0,0,0,India,1,0,0,0
PP Chawla (2010-2012),2010-2012,2010,2012,7,1,0,0,0,0,0.00,1,0.00,0,0,1,0,0,India,1,0,0,0
A Mishra (2010-2017),2010-2017,2010,2017,10,1,0,0,0,0,0.00,0,-,0,0,1,0,0,India,1,0,0,0
MM Patel (2011-2011),2011-2011,2011,2011,3,1,0,0,0,0,0.00,1,0.00,0,0,1,0,0,India,1,0,0,0
S Aravind (2015-2015),2015-2015,2015,2015,1,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1,0,0,0
P Awana (2012-2012),2012-2012,2012,2012,2,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1,0,0,0
L Balaji (2012-2012),2012-2012,2012,2012,5,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1,0,0,0
Joginder Sharma (2007-2007),2007-2007,2007,2007,4,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1,0,0,0
M Kartik (2007-2007),2007-2007,2007,2007,1,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1,0,0,0
Mohammed Shami (2014-2017),2014-2017,2014,2017,7,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1,0,0,0
Mohammed Siraj (2017-2017),2017-2017,2017,2017,1,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1,0,0,0
P Negi (2016-2016),2016-2016,2016,2016,1,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1,0,0,0
KV Sharma (2014-2014),2014-2014,2014,2014,1,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1,0,0,0
R Sharma (2012-2012),2012-2012,2012,2012,2,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1,0,0,0
BB Sran (2016-2016),2016-2016,2016,2016,2,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1,0,0,0
S Tyagi (2009-2009),2009-2009,2009,2009,1,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1,0,0,0
JD Unadkat (2016-2016),2016-2016,2016,2016,1,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1,0,0,0
UT Yadav (2012-2012),2012-2012,2012,2012,1,-,-,-,-,-,-,-,-,-,-,-,-,-,India,1,0,0,0
Shoaib Malik (2006-2017),2006-2017,2006,2017,92,86,24,1821,75,75,29.37,1548,117.63,0,6,1,152,43,Pakistan,1,1,1,0
Umar Akmal (2009-2016),2009-2016,2009,2016,82,77,14,1690,94,94,26.82,1375,122.90,0,8,8,122,55,Pakistan,1,1,1,1
Mohammad Hafeez (2006-2017),2006-2017,2006,2017,81,78,5,1658,86,86,22.71,1457,113.79,0,9,5,178,39,Pakistan,1,1,0,0
Shahid Afridi (2006-2016),2006-2016,2006,2016,98,90,12,1405,54*,54,18.01,932,150.75,0,4,8,102,73,Pakistan,1,1,0,1
Ahmed Shehzad (2009-2017),2009-2017,2009,2017,53,53,2,1353,111*,111,26.52,1171,115.54,1,7,2,145,29,Pakistan,1,1,1,0
Kamran Akmal (2006-2017),2006-2017,2006,2017,58,53,6,987,73,73,21.00,825,119.63,0,5,7,100,31,Pakistan,1,0,0,0
Misbah-ul-Haq (2007-2012),2007-2012,2007,2012,39,34,13,788,87*,87,37.52,715,110.20,0,3,2,45,26,Pakistan,1,0,1,0
Salman Butt (2007-2010),2007-2010,2007,2010,24,23,2,595,74,74,28.33,551,107.98,0,3,1,66,10,Pakistan,1,0,1,0
Imran Nazir (2007-2012),2007-2012,2007,2012,25,24,1,500,72,72,21.73,370,135.13,0,3,2,59,22,Pakistan,1,0,0,1
Babar Azam (2016-2017),2016-2017,2016,2017,14,14,4,468,86,86,46.80,384,121.87,0,2,0,44,6,Pakistan,1,0,0,1
Younis Khan (2006-2010),2006-2010,2006,2010,25,23,3,442,51,51,22.10,364,121.42,0,2,2,31,12,Pakistan,1,0,0,1
Abdul Razzaq (2006-2013),2006-2013,2006,2013,32,29,10,393,46*,46,20.68,337,116.61,0,0,2,21,21,Pakistan,1,0,0,0
Sarfraz Ahmed (2010-2017),2010-2017,2010,2017,35,24,9,391,76*,76,26.06,335,116.71,0,2,1,37,4,Pakistan,1,0,1,0
Nasir Jamshed (2012-2013),2012-2013,2012,2013,18,18,1,363,56,56,21.35,320,113.43,0,2,1,34,12,Pakistan,1,0,0,0
Sharjeel Khan (2013-2016),2013-2016,2013,2016,15,15,0,360,59,59,24.00,262,137.40,0,2,0,48,13,Pakistan,1,0,0,1
Khalid Latif (2008-2016),2008-2016,2008,2016,13,13,2,237,59*,59,21.54,229,103.49,0,1,1,25,6,Pakistan,1,0,0,0
Sohaib Maqsood (2013-2016),2013-2016,2013,2016,20,18,2,221,37,37,13.81,201,109.95,0,0,2,15,8,Pakistan,1,0,0,0
Sohail Tanvir (2007-2017),2007-2017,2007,2017,57,25,8,196,41,41,11.52,164,119.51,0,0,2,16,9,Pakistan,1,0,0,0
Fawad Alam (2007-2010),2007-2010,2007,2010,24,17,6,194,28,28,17.63,169,114.79,0,0,1,7,7,Pakistan,1,0,0,0
Asad Shafiq (2010-2012),2010-2012,2010,2012,10,10,0,192,38,38,19.20,185,103.78,0,0,0,19,2,Pakistan,1,0,0,0
Mukhtar Ahmed (2015-2015),2015-2015,2015,2015,6,6,0,192,83,83,32.00,134,143.28,0,2,0,23,5,Pakistan,1,0,0,0
Umar Gul (2007-2016),2007-2016,2007,2016,60,27,9,165,32,32,9.16,156,105.76,0,0,6,11,10,Pakistan,1,0,0,0
Fakhar Zaman (2017-2017),2017-2017,2017,2017,9,8,0,130,31,31,16.25,118,110.16,0,0,0,12,2,Pakistan,1,0,0,0
Wahab Riaz (2008-2017),2008-2017,2008,2017,27,14,4,126,30*,30,12.60,107,117.75,0,0,2,9,5,Pakistan,1,0,0,0
Imad Wasim (2015-2017),2015-2017,2015,2017,25,15,5,122,24*,24,12.20,81,150.61,0,0,4,9,6,Pakistan,1,0,0,0
